Title | Year | RQ1_Datasets | RQ1_Image_Count | RQ1_Class_Balance | RQ2_Preprocessing | RQ2_Augmentation | RQ3_RQ4_Seg_Scope | RQ5_RQ6_Class_Scope | RQ7_Model_Architecture | RQ7_Novelty | RQ7_Transfer_Learning | RQ8_Metrics_Used | RQ8_Best_Result | RQ8_SOTA_Compare | RQ9_Limitations | RQ10_Future_Work
Finding and removing Clever Hans: Using explanation methods to debug and improve deep models  | 2022  | ISIC 2019, ImageNet, Adience, Modified MNIST, CIFAR-10  | ~25,331 (ISIC 2019)  | No (ISIC 2019 is highly imbalanced; Class Artifact Compensation used to mitigate bias)  | Center-cropping (ImageNet), Resizing  | A-ClArC (Augmentative Class Artifact Compensation): strategic data augmentation with artifact signals (e.g., watermarks, skin markers)  | N/A (Focus on classification and artifact identification) | Both (ISIC 2019: Multi-class; Adience: Binary Gender)  | VGG-16, Custom CNNs  | New Framework (Class Artifact Compensation: A-ClArC and P-ClArC) for unlearning/suppressing "Clever Hans" biases  | Yes [ImageNet]  | Accuracy, AUC, ROC, Spectral Relevance Analysis (SpRAy), Softmax Probabilities  | ACC: 82.15% (ISIC 2019 baseline); Accuracy on poisoned sets improved significantly after ClArC  | Yes (compared to standard baseline and Spectral Signature)  | Identifying CH artifacts requires human expert domain knowledge; ClArC does not necessarily increase standard benchmark accuracy but improves true generalization  | Developing more accurate/general artifact representations; Automating CH detection further; Exploring the intersection of security and functional data cleaning  | 10
Fully transformer network for skin lesion analysis  | 2022  | ISIC 2018 (Segmentation & Classification), ISIC 2019 & 2020 (Classification)  | ~12,619 (ISIC 2018 Seg: 2,594; ISIC 2018 Class: 10,025)  | No (External data used for ISIC 2020 to alleviate imbalance)  | Resizing (512x512 for Seg; 224x224 for Class)  | Random horizontal/vertical flip, Random rotation (0-360°)  | Lesion Boundary  | Both  | FTN (Hierarchical Transformer with Spatial Pyramid Transformer [SPT] and Sliding Window Tokenization [SWT])  | New Architecture (Fully Transformer-based hierarchical network)  | Yes [Transfer learning from Seg dataset to Class dataset]  | Accuracy, Sensitivity, Specificity, Jaccard Index, Dice, AUC, MAUC, Precision  | JI: 82.8%, DSC: 89.8% (Seg); AUC: 89.7% (Class)  | Yes (vs. UNet, AttUNet, ResUNet, R2UNet, FCN)  | Fails in extreme cases with extremely low contrast between background and foreground  | Stimulate more research on other medical image segmentation tasks using Transformers  | 10
Fusing fine-tuned deep features for skin lesion classification  | 2019  | ISIC 2016, ISIC 2017  | 2,787 (2,187 training; 600 testing)  | No (Handled without explicit balancing or resampling as it did not improve performance)  | Colour standardisation (Grey World), Normalization (ImageNet mean/Training mean subtraction), Resizing (227x227 or 224x224)  | Rotation (90°, 180°, 270°), Horizontal flipping, Random scaling (0.9 to 1.1), Random shearing (-2° to 2°)  | N/A (Classification focus; explicitly avoided segmentation)  | Both (Ternary: Melanoma, Seborrheic Keratosis, Benign Nevi)  | AlexNet, VGG16, ResNet-18, ResNet-101  | Ensemble (Intra-architecture and inter-architecture network fusion)  | Yes [ImageNet]  | AUC, Accuracy, Sensitivity, Specificity  | Average AUC: 91.4% (MM AUC: 87.3%; SK AUC: 95.5%)  | Yes (Outperformed top-ranked methods of ISIC 2017)  | Small training data size; Limited number of investigated architectures; Information loss during image resizing  | Incorporate more architectures (e.g., DenseNet, GoogleNet); Use hand-crafted feature descriptors; Evaluate on more diverse datasets  | 10
Fusion of U-Net and CNN model for segmentation and classification of skin lesion from dermoscopy images  | 2023  | HAM10000  | 10,015  | No reported  | Resizing (to 192x256 for U-Net; segmented output resized to 28x28 for CNN) , ROI extraction (via U-Net)  | None reported  | Lesion Boundary  | Multi-class (7 classes: MEL, NV, BCC, AKIEC, BKL, DF, VASC)  | U-Net (Segmentation) + Custom CNN (Classification: 5 Conv, 3 MP, 3 Dense)  | New Architecture (Fusion of U-Net and CNN)  | No (Custom CNN used for classification phase)  | Accuracy, Precision, Sensitivity, Specificity  | ACC: 97.96% (with Adadelta optimizer)  | Yes  | Misclassification occurs due to different diseases sharing similar visual characteristics  | Enhance images in preprocessing; Explore ensemble approaches for classification; Generalize to other biomedical images  | 10
FusionM4Net: A multi-stage multi-modal learning algorithm for multi-label skin lesion classification  | 2022  | Seven-point checklist dataset  | 1,011 (413 Train, 203 Validation, 395 Test)  | No (Handled via data augmentation and weighted average fusion schemes)  | Resizing (224x224x3)  | Random vertical and horizontal flips, shifts, and distortions  | Attributes (Pigment Network, Streaks, Pigment, Regression Structures, Dots/Globules, Vascular Structures, Blue Whitish Veil)  | Both (Multi-label classification of 7 attributes plus diagnostic label)  | FusionNet (Two ResNet-50 backbones) + SVM Cluster  | New Architecture (Multi-stage fusion at feature and decision levels)  | Yes [ImageNet]  | Accuracy (AVG), AUC, SEN, SPE, PRE  | AVG Accuracy: 77.0%; Diagnostic Accuracy: 78.5%  | Yes  | Ignores label dependencies for the multi-label task  | Use Graph Convolutional Networks (GCN) to capture label dependencies  | 10
GAN based augmentation using a hybrid loss function for dermoscopy images  | 2024  | HAM10000  | 2,065 (770 original + 1,295 augmented)  | Yes (Balanced to 110 images per class for all 7 classes)  | Resizing (to backbone default), Smoothing via hybrid loss  | Proposed GAN-based augmentation (Hybrid loss: Content + SSIM + Smooth L1)  | N/A | Multi-class (7 classes: VASC, AKIEC, BKL, MEL, DF, NV, BCC)  | Inception-v4, Inception-ResNet-V2 (Backbone for GAN: Pix2pix/U-Net)  | New Loss Function (Hybrid loss combining Content, SSIM, and Smooth L1)  | Yes [ImageNet]  | Accuracy, Sensitivity, Specificity, F1-Score, MCC  | ACC: 93.12% (Inception-ResNet-V2)  | Yes (vs. Pix2pix, DCGAN, StyleGAN, SL-StyleGAN, SPGGAN, SPGGAN-TTUR)  | Not yet applied to other medical imaging modalities (e.g., MR, CT, X-ray)  | Apply the proposed augmentation to other medical image types to test performance  | 10
GFANet: Gated Fusion Attention Network for skin lesion segmentation  | 2023  | ISIC 2017, ISIC 2018, PH2  | ~5,544 (ISIC 2017: 2,750; ISIC 2018: 2,594; PH2: 200)  | No (Pixel-level imbalance handled by combining Binary Cross-Entropy and Dice loss)  | Resizing (224x224), Normalization  | Random flip (horizontal and vertical), Random rotation  | Lesion Boundary  | N/A (Segmentation focus)  | GFANet (ResNet-34 backbone with Gated Fusion and Progressive Relation Decoders)  | New Architecture (Context Features Gated Fusion and Boundary-Sensitive Progressive Relation decoders)  | Yes [ImageNet]  | Dice, Jaccard Index (IoU), Accuracy, Sensitivity, Specificity  | Dice: 0.925 (ISIC 2018), 0.871 (ISIC 2017), 0.951 (PH2)  | Yes (vs. U-Net, AttU-Net, DAGAN, CE-Net, FAT-Net, etc.)  | Performance drops on extremely low-contrast lesions or those with heavy hair/veils  | Explore more efficient feature extractors to reduce parameters; Apply to other medical imaging tasks  | 10
HC-Mamba: Vision Mamba with Hybrid Convolutional Techniques for Medical Image Segmentation | 2024 | ISIC 2017, ISIC 2018, Synapse Multi-Organ | ~9,544 (ISIC 2017: 2,750; ISIC 2018: 2,594; Synapse: 4,200) | No reported | Preprocessing (unspecified steps to handle labels/tables), Patch Embedding (4x4 blocks), Layer Normalization | None reported | Lesion Boundary (and Organ contours) | N/A (Segmentation focus) | HC-Mamba (U-shaped architecture with HC-SSM blocks combining Dilated and Depthwise Separable convolutions) | New Architecture (Hybrid State Space Model) | No reported (Trained on medical datasets) | mIoU, Dice Score (DSC), Accuracy, Specificity, Sensitivity, HD95 | DSC: 87.89% (ISIC 2018), 87.38% (ISIC 2017), 79.58% (Synapse) | Yes (vs. UNet, Swin U-Net, VM-UNet, MedMamba, etc.) | Reduced image resolution and information loss during downsampling | Test on datasets from other imaging technologies; Use explainable AI to analyze decision-making mechanisms | 10
HSH-UNet: Hybrid selective high order interactive U-shaped model for automated skin lesion segmentation | 2024 | ISIC 2017, ISIC 2018, PH², Private (Ruijin Hospital) | ~4,833 (ISIC 2017: 2,000; ISIC 2018: 2,594; PH²: 200; Private: 39) | No (External validation datasets used for diverse validation) | Resizing (256x256) | Horizontal flip, Vertical flip, Random rotation | Lesion Boundary | N/A (Segmentation focus) | HSH-UNet (U-shaped architecture with HSHB, CAB, SAB, and ConvMixer modules) | New Architecture (Hybrid selective high-order interaction) | No reported | DSC, ACC, SE, SP | DSC: 0.9108 (ISIC 2017), 0.9059 (ISIC 2018), 0.9226 (PH²), 0.8712 (Private) | Yes (vs. UNet, Att U-Net, TransUNet, SCR-Net, MALUNet, etc.) | Research limited only to skin lesion segmentation; limited clinical data for external validation | Apply method to more diseases and complex medical image segmentation; collect more sufficient clinical data | 10
Hyperspectral and multispectral imaging in digital and computational pathology: a systematic review | 2020 | Various Public and Private (summarized from 192 studies including ISIC 2012 mitosis dataset, human and animal samples)  | N/A (Review Paper) | N/A (Review Paper) | Data calibration, Color standardization, Image enhancement, Demosaicking  | N/A | Both (Lesion and cellular structures like nuclei, nerve fibers, and multiple biomarkers)  | Both (Binary and Multi-class across multiple diseases)  | SVM, Random Forests, Neural Networks, CNNs, KNN, LDA, K-means, Multinomial Logistic Regression  | Review of existing HSI/MSI methodologies and instrumentation  | Yes (Widespread use of transfer learning reported in reviewed deep learning studies)  | Accuracy, AUC, Sensitivity, Specificity, Jaccard Index, Dice Score, mIoU, Spectral Angle Mapper (SAM)  | N/A (Review) | Yes (HSI/MSI reported to outperform RGB in specific tasks like thyroid and liver tissue differentiation)  | High instrumentation cost; lack of standardization; massive data storage requirements; computational complexity; publication bias toward positive results  | Exploration of unstained samples; investigation of the NIR spectral range (>1000 nm); development of public datasets for benchmarking; clinical validation through multi-institutional studies  | 10
Identification of Melanoma From Hyperspectral Pathology Image Using 3D Convolutional Networks | 2021 | Private (Wenzhou Hospital, China)  | 125  | Yes (H&E staining)  | 10x and 20x  | Preprocessing (Calibration to eliminate electronic noise using blank and dark images; Band selection using mutual information and PCA)  | Lesion Boundary (Melanoma area)  | Binary (Melanoma vs. Healthy Skin Tissue)  | Hyper-net (3D Fully Convolutional Network based on an encoder-decoder structure with a dual-path module and dilated convolutions)  | New Architecture (Hyper-net)  | No (Specifically designed and trained on hyperspectral data)  | Accuracy, False Positive Rate (FPR), True Positive Rate (TPR), Dice Score, ROC, AUC  | Accuracy: Over 92% (Overall 92.67%), Dice Score: 0.91  | Yes (vs. 2D CNN with RGB and 2D Hyperspectral inputs, and 3D V-net)  | Complex textures and differentially enriched structures of skin tissue; Data volume challenges; Class imbalance leading to false negatives  | Upgrading the system to enlarge the spectral range (400–750 nm); Exploring clinical use for deterioration possibility assessment  | 10
Image Classification of Melanoma, Nevus and Seborrheic Keratosis by Deep Neural Network Ensemble | 2017 | ISIC 2017 | 2,000 (Training) | No (Used external data from ISIC Archive to increase sample size) | Luminance and color balance normalization (Shades of Gray), Resizing (224x224 or 299x299) | Random cropping, flipping, and color jittering | N/A (Classification focus) | Both (Ternary: Melanoma, Nevus, Seborrheic Keratosis; implemented via two binary classifiers) | Ensemble of CNNs (ResNet-50, Inception-v3, VGG-16) | Ensemble of fine-tuned existing architectures | Yes [ImageNet] | Area Under the ROC Curve (AUC) | Mean AUC: 0.958 (MM AUC: 0.924; SK AUC: 0.993) | Yes (Ranked in ISBI 2017 Challenge) | None reported (Focus on challenge performance) | N/A | 10
Improving Medical Image Classification with Label Noise Using Dual-uncertainty Estimation | 2021 | ISIC 2019, ChestX-ray14 | ~25,331 (ISIC 2019); 112,120 (ChestX-ray14) | No (ISIC 2019 is highly imbalanced; handled via data-driven robustness to asymmetric noise) | Resizing (224x224) | Standard data augmentation (unspecified details) | N/A (Classification focus) | Both (ISIC 2019: Multi-class; ChestX-ray14: Multi-label) | Dual-uncertainty Estimation (DUE) framework with ResNet-50 backbone | New Framework (DUE for handling disagreement and single-target label noise) | Yes [ImageNet] | Accuracy, Area Under the ROC Curve (AUC) | AUC: 0.908 (ISIC 2019 with 20% noise); AUC: 0.825 (ChestX-ray14) | Yes (vs. Co-teaching, JoCoR, PENCIL, Masking, etc.) | High observer variability leads to "disagreement noise"; asymmetric (class-dependent) noise is more challenging than symmetric noise | Extend framework to other medical modalities; further explore the relationship between aleatoric and epistemic uncertainty in clinical labels | 10
Intelligent skin cancer detection applying autoencoder, MobileNetV2 and spiking neural networks | 2021 | ISIC skin cancer dataset | 3,297 (1,800 benign and 1,497 malignant) | No (External data not specifically mentioned; 75% training/25% testing split) | Resizing (224x224) | Data augmentation mentioned in reviewed studies (Hosny et al., Nugroho et al.) but not explicitly used in the authors' own method | N/A (Classification focus) | Binary (Benign vs. Malignant) | MobileNetV2 (Backbone) + Autoencoder + Spiking Neural Network (SNN) | New Framework (Combining CNN, Autoencoder, and SNN) | Yes [ImageNet pre-trained MobileNetV2] | Accuracy, Sensitivity, Specificity, Precision, F1-score | ACC: 95.27% | Yes (vs. AlexNet, ResNet-50, GoogLeNet, and others) | SNNs require deep learning models for feature extraction (cannot provide efficient features alone); SNN parameter values must be manually tuned for different datasets | Identify different disease types; aim to select fewer but more efficient features | 10
Interpretable deep learning systems for multi-class segmentation and classification of non-melanoma skin cancer | 2021 | Private (MyLab Pathology collection) | 290 H&E slides (140 BCC, 60 SCC, 90 IEC) | No (Statistics reflect general population prevalence; splits maintained 80:10:10) | xylene processing, mosaic stitching (0.67µm/pixel), downsampling (2x, 5x, 10x) | Flipping and rotating patches containing underrepresented classes (8x augmentation) | Lesion Boundary (and 11 other tissue structures) | Multi-class (4 classes: Healthy, BCC, SCC, IEC) | U-Net-like decoder with ResNet50 encoder | New Framework (Naturally interpretable multi-class semantic segmentation for histological analysis) | Yes [ImageNet pre-trained ResNet50] | Per-pixel Accuracy, Average Class Accuracy | 93.6% (Four-class); 97.9% (Binary cancer/non-cancer) | Yes (vs. Random Forest, K-Nearest-Neighbors, Single-Layer Perceptron) | High-resolution focus may miss high-level context (e.g., hair follicles); ambiguity between proximal tissue layers; small sample size (n=290) | Extend to assessment of degree of differentiation, depth of invasion, and lymphovascular/perineural invasion | 10
I2U-Net: A dual-path U-Net with rich information interaction for medical image segmentation  | 2024  | ISIC2018 (Public), PH² (Public)  | 2,794 (2594 in ISIC2018 + 200 in PH²)  | No; Joint loss (Dice + Cross-Entropy) used to address class distribution imbalance  | Resampling/Resizing (to 224x224 pixels)  | None reported | Lesion Boundary  | N/A | I2U-Net (Dual-path U-Net with ResNet-34 encoder, MFII, and HIFA modules)  | New Architecture  | Yes (ImageNet 2012 for encoder in ablation study; otherwise trained from scratch)  | IoU, Dice  | ISIC2018: IoU 83.66%, Dice 90.10%; PH²: IoU 85.70%, Dice 91.83%  | Yes  | High computational cost/parameters in the dual-path ResNet-34 encoder leading to longer inference times  | Design a lightweight backbone, utilize Neural Architecture Search (NAS), and extend to more 2D/3D medical segmentation tasks  | 10
